Sample Time,Engine Speed (RPM),Engine Load Factor (%),Engine Coolant Temperature (Deg. C),Engine Oil Pressure (kPa),Boost Pressure (kPa),Fuel Pressure (kPa),Inlet Air Temperature (Deg. C),Fuel Consumption Rate (L/hr)
11/12/2021 17:58,799.5,21,82,282.5,2,580,37.3,12.6
11/12/2021 17:28,801.5,17,82,285,1.5,578.5,38.9,10.95
11/12/2021 16:58,1302,25,83,433.5,8,627,36.7,25.65
11/12/2021 16:28,1798,32,82,461.5,30.5,668.5,34.8,57.85
11/12/2021 15:58,1795.5,96,83,456,80.5,674.5,36.1,151.9
11/12/2021 15:28,1166.5,57,82,423.5,7,610,35.7,42.15
11/12/2021 14:58,1169.5,34,82,422.5,6.5,611,42,34.8
11/12/2021 14:28,1800.5,55,82,470,35,669.5,41,89.2
11/12/2021 13:58,1810.5,25,83,456,37.5,662,42.6,51.65
11/12/2021 13:28,1815.5,24,83,455,43,679.5,40,51.05
11/12/2021 12:58,1800.5,24,83,453,47.5,680,43.8,52.5
11/12/2021 12:28,1729,91,83,456,53,680,37.7,135.15
11/12/2021 11:58,1298.5,28,82,434.5,4,642,35.3,27.2
11/12/2021 11:28,1335.5,27,82,433.5,6.5,629,33.8,27.55
11/12/2021 10:58,1576.5,43,83,447.5,29,662,33.6,57.25
11/12/2021 10:28,799.5,30,83,282,2,574.5,31.8,14.95
11/11/2021 20:33,800,22,82,281.5,1,575,32.1,12.95
11/11/2021 20:03,1621,54,83,442.5,53.5,669.5,37.6,83.35
11/11/2021 19:33,799.5,19,82,286.5,0.5,568.5,33.2,12.1
11/11/2021 19:03,1403.5,28,82,437.5,7.5,632,38.7,31.7
11/11/2021 18:33,1567,61,83,446.5,59.5,670.5,34.5,91.8
11/11/2021 18:03,1814,26,83,454.5,54,680,36,56.55
11/11/2021 17:33,1842.5,74,83,452.5,82,686.5,36.5,116.25
11/11/2021 17:03,1851.5,28,83,453,80,687.5,35.1,61.4
11/11/2021 16:33,1513,63,82,444.5,51,665.5,32.5,86.95
11/11/2021 16:03,800.5,18,82,284,1,578.5,33.9,11.3
11/11/2021 15:33,1302.5,27,82,434.5,4.5,640,32.7,25.75
11/11/2021 15:03,1826,17,82,456.5,52,679.5,34.2,45.6
11/11/2021 14:33,1887,41,82,454,76,678,36.5,66.05
11/11/2021 14:03,1770.5,84,83,454.5,73,678.5,34.9,135.25
11/11/2021 13:33,1467.5,25,82,447.5,8,653.5,32.3,31.45
11/11/2021 13:03,801,21,82,284.5,1.5,583,33.9,12.35
11/11/2021 11:56,800.5,19,82,287,1,582.5,35.4,11.5
11/11/2021 11:26,1303.5,28,82,427,6.5,635,37.7,27.3
11/11/2021 10:56,1361,28,82,439.5,6.5,646,32.4,29.95
11/11/2021 10:26,800.5,21,83,288,1,581,32.1,12.6
11/11/2021 0:19,799.5,23,82,282.5,2,578,33.3,13.2
11/10/2021 23:34,797.5,20,82,284.5,1.5,574,33.6,12
11/10/2021 22:25,1302.5,28,82,433,5.5,626,37.9,26.35
11/10/2021 21:55,1302.5,28,82,429.5,7,623.5,41.8,26.7
11/10/2021 21:25,1429,49,83,438,24.5,653.5,37,54.4
11/10/2021 19:48,799.5,24,82,277.5,1,579,36.1,13.3
11/10/2021 19:18,1825,27,82,454.5,36,679,38.3,49.4
11/10/2021 18:48,1791.5,25,83,453.5,41,678.5,38.4,51.4
11/10/2021 18:18,1801.5,22,83,452,43,680.5,39.5,50.25
11/10/2021 17:48,1804.5,29,83,452,41.5,677,40.3,56.15
11/10/2021 17:18,1803,27,83,451,44.5,681,40.6,55.35
11/10/2021 16:48,800.5,26,83,272,1,581.5,42.3,13.8
11/10/2021 16:18,1514,61,83,436.5,48,650,39.9,79.35
11/10/2021 15:48,1149,100,84,400.5,58,613.5,36.9,100.6
11/10/2021 15:18,1414,35,82,438.5,13,640,36.2,37.05
11/10/2021 14:48,801,22,82,281,1.5,573,41.1,13.05
11/10/2021 14:18,800.5,24,83,281,1,580,39.9,13.65
11/10/2021 12:36,799.5,21,82,282.5,1,580.5,37.6,12.7
11/10/2021 12:06,801,22,83,281.5,1.5,581,38.2,12.95
11/10/2021 10:26,800,27,83,284.5,1.5,583,35.3,14.15
11/09/2021 19:33,800,19,82,281.5,1,576.5,35.5,12
11/09/2021 19:03,1299.5,29,82,428.5,6,629.5,40.2,27.55
11/09/2021 18:33,1457,28,82,438,9.5,639.5,41.9,33
11/09/2021 18:03,1802.5,30,82,462,25,684,34.6,52.15
11/09/2021 17:33,1175,56,83,414,17.5,636.5,36.8,47.85
11/09/2021 16:22,764,25,82,341,3,594.5,36.8,13.3
11/09/2021 15:52,1202,26,82,416,3.5,630.5,39.8,23.85
11/09/2021 15:22,801,26,82,281.5,1.5,584,41.3,13.9
11/09/2021 14:52,1407,37,82,436.5,14,636.5,37.4,39.05
11/09/2021 14:22,1654.5,81,84,441,106.5,669.5,41.3,129.1
11/09/2021 13:52,1436.5,36,82,443,12.5,657.5,36.5,39.05
11/09/2021 13:22,798.5,25,82,280,1,577,39.5,13.55
11/09/2021 12:28,800.5,30,82,280,1.5,577,38.7,15.1
11/09/2021 10:39,799.5,23,83,282,0.5,581.5,38,12.85
11/09/2021 10:09,801,27,83,284,1.5,584,35.3,14.25
11/08/2021 16:39,1300.5,30,82,434,6,634,30.5,28.6
11/08/2021 15:57,1204,30,82,423,6,630.5,29.8,26.6
11/08/2021 15:27,1836,21,82,454.5,81,683.5,32.2,48.55
11/08/2021 14:57,1813.5,24,82,459,29,685.5,31.4,46.8
11/08/2021 14:27,1868.5,59,83,449,93,679.5,38.7,71.15
11/08/2021 13:57,800,21,82,284,1,576,38.6,12.7
11/08/2021 13:27,799.5,24,82,282.5,1,582,39,13.4
11/08/2021 12:57,1484,35,82,443.5,12.5,653,43.2,41.7
